Time (ms),Nset (1/min),Torque (Nm),Current (V),Angle (deg),Depth (mm)
0.0,0.0,0.0,-0.0140380859,0.0,0.06640625
1.0,4.0,-0.00140850828,-0.006713867,0.0,0.052734375
2.0,8.0,-0.00281701656,0.06713867,0.13333334,0.06640625
3.0,12.0,0.00211276254,0.19317627,0.13333334,0.060546875
4.0,16.0,-0.00070425414,0.266113281,0.266666681,0.064453125
5.0,20.0,0.009155304,0.250244141,0.266666681,0.064453125
6.0,24.0,0.0281701647,0.238647461,0.4,0.0625
7.0,28.0,0.0253531486,0.2267456,0.533333361,0.05859375
8.0,32.0,0.0330999456,0.256958,0.8,0.0625
9.0,36.0,0.0366212167,0.2758789,0.933333337,0.0625
10.0,40.0,0.0316914357,0.297851563,1.2,0.0625
11.0,44.0,0.0260574035,0.30090332,1.4666667,0.0625
12.0,48.0,0.0260574035,0.296936035,1.73333335,0.06640625
13.0,52.0,0.0211276244,0.297851563,2.0,0.05859375
14.0,56.0,0.0246488955,0.3161621,2.4,0.05859375
15.0,60.0,0.0211276244,0.319213867,2.66666675,0.060546875
16.0,64.0,0.0197191164,0.3085327,3.0666666,0.060546875
17.0,68.0,0.0176063534,0.277709961,3.4666667,0.06640625
18.0,72.0,0.0190148614,0.3085327,3.86666656,0.0625
19.0,76.0,0.0514105521,0.334777832,4.266667,0.060546875
20.0,80.0,0.102116853,0.335693359,4.8,0.05859375
21.0,84.0,0.08944028,0.3753662,5.2,0.0625
22.0,88.0,0.0584530942,0.4119873,5.733333,0.052734375
23.0,92.0,0.0415509939,0.3982544,6.266667,0.06640625
24.0,96.0,0.0330999456,0.360107422,6.9333334,0.05859375
25.0,100.0,0.0211276244,0.338745117,7.4666667,0.060546875
26.0,104.0,0.0281701647,0.3463745,8.133333,0.064453125
27.0,108.0,0.0295786746,0.377197266,8.666667,0.0625
28.0,112.0,0.03591696,0.377807617,9.333333,0.060546875
29.0,116.0,0.0309871826,0.369873047,10.0,0.05859375
30.0,120.0,0.04084674,0.377807617,10.8,0.0625
31.0,124.0,0.0464807749,0.393676758,11.4666662,0.064453125
32.0,128.0,0.0401424877,0.4156494,12.2666664,0.05859375
33.0,132.0,0.04084674,0.395813,13.0666666,0.0625
34.0,136.0,0.03450845,0.394897461,13.8666668,0.05859375
35.0,140.0,0.0316914357,0.3945923,14.666667,0.068359375
36.0,144.0,0.0330999456,0.395202637,15.4666662,0.05859375
37.0,148.0,0.0415509939,0.3942871,16.4,0.06640625
38.0,152.0,0.0464807749,0.393981934,17.333334,0.0546875
39.0,156.0,0.045072265,0.413818359,18.2666664,0.068359375
40.0,160.0,0.04225525,0.434265137,19.2,0.05859375
41.0,164.0,0.0330999456,0.4373169,20.1333332,0.064453125
42.0,168.0,0.03450845,0.416564941,21.0666676,0.0546875
43.0,172.0,0.0401424877,0.4260254,22.1333332,0.0546875
44.0,176.0,0.0436637551,0.438842773,23.2,0.0625
45.0,180.0,0.0436637551,0.4373169,24.2666664,0.05859375
46.0,184.0,0.04225525,0.429077148,25.333334,0.0625
47.0,188.0,0.0373254679,0.4373169,26.4,0.0625
48.0,192.0,0.03591696,0.437011719,27.6,0.060546875
49.0,196.0,0.04788928,0.437927246,28.8,0.0625
50.0,200.0,0.045072265,0.43762207,30.0,0.060546875
51.0,204.0,0.03591696,0.4534912,31.2,0.05859375
52.0,208.0,0.03450845,0.474853516,32.4,0.0625
53.0,212.0,0.0401424877,0.45715332,33.6,0.064453125
54.0,216.0,0.0464807749,0.44708252,34.9333344,0.064453125
55.0,220.0,0.0401424877,0.4510498,36.2666664,0.0625
56.0,224.0,0.0338042,0.484924316,37.6,0.060546875
57.0,228.0,0.04084674,0.475769043,38.9333344,0.0625
58.0,232.0,0.04929779,0.455322266,40.2666664,0.06640625
59.0,236.0,0.04084674,0.4751587,41.7333336,0.0625
60.0,240.0,0.0436637551,0.497436523,43.0666656,0.0703125
61.0,244.0,0.04929779,0.478515625,44.5333328,0.05859375
62.0,248.0,0.0401424877,0.4763794,46.0,0.0546875
63.0,250.0,0.03450845,0.465698242,47.6,0.052734375
64.0,250.0,0.0330999456,0.410461426,49.0666656,0.060546875
65.0,250.0,0.0387339778,0.331115723,50.5333328,0.0546875
66.0,250.0,0.0218318775,0.2770996,52.0,0.05859375
67.0,250.0,0.02887442,0.286865234,53.6,0.0546875
68.0,250.0,0.0190148614,0.3076172,55.0666656,0.05859375
69.0,250.0,0.0274659116,0.319824219,56.5333328,0.05859375
70.0,250.0,0.0316914357,0.319213867,58.0,0.064453125
71.0,250.0,0.03239569,0.3201294,59.4666672,0.060546875
72.0,250.0,0.0218318775,0.319519043,61.0666656,0.0625
73.0,250.0,0.0295786746,0.309448242,62.5333328,0.060546875
74.0,250.0,0.0366212167,0.297851563,64.0,0.05859375
75.0,250.0,0.02042337,0.297851563,65.46667,0.064453125
76.0,250.0,0.03239569,0.3189087,66.9333344,0.05859375
77.0,250.0,0.03450845,0.319213867,68.53333,0.05859375
78.0,250.0,0.0267616566,0.319824219,70.0,0.064453125
79.0,250.0,0.0197191164,0.3189087,71.46667,0.064453125
80.0,250.0,0.0366212167,0.319213867,72.9333344,0.06640625
81.0,250.0,0.0352127068,0.3201294,74.4,0.05859375
82.0,250.0,0.0246488955,0.3189087,75.86667,0.060546875
83.0,250.0,0.0267616566,0.319213867,77.46667,0.0546875
84.0,250.0,0.0253531486,0.319519043,78.9333344,0.0625
85.0,250.0,0.0260574035,0.3189087,80.4,0.0625
86.0,250.0,0.0169021,0.316772461,81.86667,0.05859375
87.0,250.0,0.0281701647,0.3189087,83.3333359,0.0625
88.0,250.0,0.0380297229,0.3189087,84.8,0.05859375
89.0,250.0,0.03450845,0.319213867,86.4,0.0625
90.0,250.0,0.03239569,0.3189087,87.86667,0.05859375
91.0,250.0,0.0380297229,0.335083,89.3333359,0.064453125
92.0,250.0,0.04084674,0.319213867,90.8,0.060546875
93.0,250.0,0.0302829277,0.319213867,92.26667,0.060546875
94.0,250.0,0.0394382328,0.3201294,93.86667,0.064453125
95.0,250.0,0.04788928,0.3189087,95.3333359,0.064453125
96.0,250.0,0.0211276244,0.319213867,96.8,0.0625
97.0,250.0,0.0316914357,0.319213867,98.26667,0.05859375
98.0,250.0,0.0338042,0.299072266,99.73333,0.06640625
99.0,250.0,0.03450845,0.2984619,101.2,0.0625
100.0,250.0,0.0190148614,0.3085327,102.8,0.05859375
101.0,250.0,0.0309871826,0.319213867,104.26667,0.060546875
102.0,250.0,0.04084674,0.3189087,105.73333,0.05859375
103.0,250.0,0.0260574035,0.319824219,107.2,0.05859375
104.0,250.0,0.0316914357,0.3189087,108.666664,0.056640625
105.0,250.0,0.0253531486,0.31829834,110.26667,0.05859375
106.0,250.0,0.0309871826,0.2984619,111.73333,0.056640625
107.0,250.0,0.0260574035,0.298156738,113.2,0.064453125
108.0,250.0,0.0267616566,0.317993164,114.666664,0.0625
109.0,250.0,0.0225361325,0.319519043,116.133331,0.064453125
