Time (ms),Nset (1/min),Torque (Nm),Current (V),Angle (deg),Depth (mm)
0.0,0.0,-0.004929779,-0.01586914,0.13333334,0.107421875
1.0,4.0,-0.00140850828,-0.00457763672,0.13333334,0.11328125
2.0,8.0,-0.00211276254,0.06561279,0.13333334,0.107421875
3.0,12.0,-0.00070425414,0.184326172,0.13333334,0.11328125
4.0,16.0,0.0,0.272827148,0.266666681,0.109375
5.0,20.0,0.0105638122,0.296325684,0.266666681,0.103515625
6.0,24.0,0.00211276254,0.276489258,0.4,0.111328125
7.0,28.0,0.007042541,0.274963379,0.533333361,0.107421875
8.0,32.0,0.0295786746,0.260009766,0.8,0.109375
9.0,36.0,0.0330999456,0.274353027,0.933333337,0.10546875
10.0,40.0,0.0401424877,0.3149414,1.2,0.109375
11.0,44.0,0.04929779,0.333251953,1.4666667,0.10546875
12.0,48.0,0.0415509939,0.33416748,1.73333335,0.109375
13.0,52.0,0.0309871826,0.348510742,2.0,0.111328125
14.0,56.0,0.0394382328,0.355834961,2.26666665,0.10546875
15.0,60.0,0.0302829277,0.319213867,2.66666675,0.111328125
16.0,64.0,0.0281701647,0.280761719,3.0666666,0.11328125
17.0,68.0,0.02887442,0.295715332,3.4666667,0.10546875
18.0,72.0,0.0281701647,0.3475952,3.86666656,0.107421875
19.0,76.0,0.03239569,0.354614258,4.266667,0.115234375
20.0,80.0,0.0281701647,0.33996582,4.8,0.10546875
21.0,84.0,0.0274659116,0.31829834,5.2,0.11328125
22.0,88.0,0.03591696,0.348815918,5.733333,0.107421875
23.0,92.0,0.11620193,0.370178223,6.266667,0.107421875
24.0,96.0,0.104229614,0.3918457,6.8,0.107421875
25.0,100.0,0.05774884,0.414123535,7.4666667,0.10546875
26.0,104.0,0.04929779,0.400390625,8.133333,0.107421875
27.0,108.0,0.045072265,0.3616333,8.666667,0.107421875
28.0,112.0,0.0415509939,0.354919434,9.333333,0.10546875
29.0,116.0,0.0436637551,0.376281738,10.0,0.111328125
30.0,120.0,0.04225525,0.3768921,10.8,0.10546875
31.0,124.0,0.0380297229,0.392456055,11.4666662,0.111328125
32.0,128.0,0.0373254679,0.3930664,12.2666664,0.11328125
