Time (ms),Nset (1/min),Torque (Nm),Current (V),Angle (deg),Depth (mm)
0.0,0.0,-0.00352127058,-0.01373291,0.0,0.10546875
1.0,4.0,-0.00281701656,-0.0140380859,0.0,0.103515625
2.0,8.0,-0.00140850828,0.03692627,0.0,0.09765625
3.0,12.0,0.0,0.177307129,0.0,0.103515625
4.0,16.0,0.00211276254,0.276184082,0.13333334,0.099609375
5.0,20.0,0.004225525,0.2783203,0.266666681,0.10546875
6.0,24.0,0.004225525,0.262146,0.4,0.107421875
7.0,28.0,0.01197232,0.24017334,0.533333361,0.10546875
8.0,32.0,0.00845105,0.239257813,0.6666667,0.1015625
9.0,36.0,0.03239569,0.260620117,0.933333337,0.107421875
10.0,40.0,0.04577652,0.274963379,1.06666672,0.107421875
11.0,44.0,0.045072265,0.301818848,1.33333337,0.10546875
12.0,48.0,0.0316914357,0.322875977,1.6,0.10546875
13.0,52.0,0.0274659116,0.332946777,2.0,0.10546875
14.0,56.0,0.0253531486,0.32043457,2.26666665,0.1015625
15.0,60.0,0.0232403874,0.319213867,2.66666675,0.1015625
16.0,64.0,0.0225361325,0.32043457,2.9333334,0.09765625
17.0,68.0,0.0246488955,0.3201294,3.33333325,0.107421875
18.0,72.0,0.0225361325,0.3036499,3.73333335,0.1015625
19.0,76.0,0.0211276244,0.2984619,4.266667,0.103515625
20.0,80.0,0.0197191164,0.3237915,4.66666651,0.1015625
21.0,84.0,0.0338042,0.3366089,5.2,0.10546875
22.0,88.0,0.105638124,0.35736084,5.733333,0.10546875
23.0,92.0,0.09789132,0.397949219,6.266667,0.10546875
24.0,96.0,0.06338287,0.437011719,6.8,0.109375
25.0,100.0,0.0507062972,0.401611328,7.33333349,0.109375
26.0,104.0,0.0373254679,0.342407227,8.0,0.1015625
27.0,108.0,0.0366212167,0.339660645,8.666667,0.1015625
28.0,112.0,0.0394382328,0.378417969,9.333333,0.10546875
29.0,116.0,0.03450845,0.379638672,10.0,0.1015625
30.0,120.0,0.0309871826,0.380249023,10.666667,0.107421875
31.0,124.0,0.0429595038,0.379943848,11.4666662,0.107421875
32.0,128.0,0.0401424877,0.3942871,12.1333332,0.10546875
33.0,132.0,0.0373254679,0.3955078,12.9333334,0.103515625
34.0,136.0,0.0295786746,0.383911133,13.7333336,0.103515625
35.0,140.0,0.0387339778,0.396118164,14.5333338,0.1015625
36.0,144.0,0.0387339778,0.3955078,15.4666662,0.103515625
37.0,148.0,0.0316914357,0.396118164,16.2666664,0.103515625
38.0,152.0,0.04225525,0.395813,17.2,0.10546875
39.0,156.0,0.0415509939,0.412597656,18.1333332,0.10546875
40.0,160.0,0.03450845,0.429992676,19.0666676,0.109375
41.0,164.0,0.03591696,0.418701172,20.0,0.103515625
42.0,168.0,0.0309871826,0.417480469,21.0666676,0.095703125
43.0,172.0,0.0366212167,0.434265137,22.0,0.099609375
44.0,176.0,0.0471850261,0.437927246,23.0666676,0.103515625
