Time (ms),Nset (1/min),Torque (Nm),Current (V),Angle (deg),Depth (mm)
0.0,0.0,-0.00140850828,-0.01373291,0.0,0.107421875
1.0,4.0,-0.00281701656,-0.00762939453,0.0,0.099609375
2.0,8.0,-0.00281701656,0.06347656,0.0,0.103515625
3.0,12.0,0.00070425414,0.186767578,0.0,0.103515625
4.0,16.0,0.00070425414,0.273132324,0.13333334,0.103515625
5.0,20.0,-0.00352127058,0.270080566,0.266666681,0.10546875
6.0,24.0,-0.004929779,0.252990723,0.4,0.111328125
7.0,28.0,0.0161978453,0.238952637,0.533333361,0.10546875
8.0,32.0,0.0197191164,0.238952637,0.6666667,0.1015625
9.0,36.0,0.0253531486,0.260620117,0.933333337,0.10546875
10.0,40.0,0.0316914357,0.2770996,1.06666672,0.107421875
11.0,44.0,0.0295786746,0.2770996,1.33333337,0.107421875
12.0,48.0,0.0260574035,0.284729,1.6,0.111328125
13.0,52.0,0.0246488955,0.2987671,2.0,0.111328125
14.0,56.0,0.0218318775,0.319213867,2.26666665,0.103515625
15.0,60.0,0.0218318775,0.32043457,2.66666675,0.109375
16.0,64.0,0.02394464,0.3112793,2.9333334,0.107421875
17.0,68.0,0.0274659116,0.299377441,3.33333325,0.103515625
18.0,72.0,0.0387339778,0.325622559,3.73333335,0.10546875
19.0,76.0,0.0556360781,0.356140137,4.266667,0.107421875
20.0,80.0,0.06831265,0.3652954,4.66666651,0.109375
21.0,84.0,0.05915735,0.360717773,5.2,0.103515625
22.0,88.0,0.0464807749,0.3491211,5.733333,0.109375
23.0,92.0,0.04577652,0.3366089,6.266667,0.107421875
24.0,96.0,0.052819062,0.3579712,6.8,0.107421875
25.0,100.0,0.0507062972,0.3781128,7.33333349,0.109375
26.0,104.0,0.0387339778,0.3793335,8.0,0.10546875
27.0,108.0,0.0295786746,0.37902832,8.666667,0.103515625
28.0,112.0,0.03239569,0.358886719,9.333333,0.10546875
29.0,116.0,0.0338042,0.35736084,10.0,0.109375
30.0,120.0,0.0352127068,0.3567505,10.666667,0.103515625
31.0,124.0,0.0401424877,0.386047363,11.4666662,0.115234375
32.0,128.0,0.0429595038,0.394897461,12.1333332,0.10546875
33.0,132.0,0.04436801,0.394897461,12.9333334,0.103515625
34.0,136.0,0.0429595038,0.395202637,13.7333336,0.109375
35.0,140.0,0.0373254679,0.394897461,14.5333338,0.10546875
36.0,144.0,0.03591696,0.398864746,15.4666662,0.109375
37.0,148.0,0.0302829277,0.3945923,16.2666664,0.10546875
38.0,152.0,0.0366212167,0.4171753,17.2,0.11328125
