Time (ms),Nset (1/min),Torque (Nm),Current (V),Angle (deg),Depth (mm)
0.0,0.0,0.00070425414,-0.0155639648,0.0,0.1171875
1.0,4.0,0.0,-0.00183105469,0.0,0.111328125
2.0,8.0,0.00352127058,0.046081543,0.0,0.1171875
3.0,12.0,0.01197232,0.174255371,0.0,0.115234375
4.0,16.0,0.0260574035,0.282592773,0.13333334,0.111328125
5.0,20.0,0.0352127068,0.3161621,0.266666681,0.119140625
6.0,24.0,0.045072265,0.317688,0.4,0.1171875
7.0,28.0,0.04929779,0.2984619,0.533333361,0.115234375
8.0,32.0,0.04929779,0.278015137,0.6666667,0.115234375
9.0,36.0,0.04788928,0.276184082,0.933333337,0.115234375
10.0,40.0,0.0429595038,0.293273926,1.06666672,0.11328125
11.0,44.0,0.0316914357,0.296325684,1.33333337,0.115234375
12.0,48.0,0.03591696,0.296936035,1.6,0.1171875
13.0,52.0,0.0316914357,0.3076172,1.86666667,0.11328125
14.0,56.0,0.03239569,0.325317383,2.26666665,0.115234375
15.0,60.0,0.0584530942,0.33416748,2.5333333,0.12109375
16.0,64.0,0.0767637044,0.33416748,2.9333334,0.115234375
17.0,68.0,0.08098923,0.351867676,3.33333325,0.1171875
18.0,72.0,0.0725381747,0.376281738,3.73333335,0.12109375
19.0,76.0,0.06408713,0.366210938,4.266667,0.1171875
20.0,80.0,0.04929779,0.3567505,4.66666651,0.111328125
21.0,84.0,0.04084674,0.355834961,5.2,0.1171875
22.0,88.0,0.0366212167,0.355834961,5.733333,0.111328125
23.0,92.0,0.03591696,0.3765869,6.266667,0.111328125
24.0,96.0,0.0380297229,0.355834961,6.8,0.11328125
25.0,100.0,0.04225525,0.355834961,7.33333349,0.115234375
26.0,104.0,0.0415509939,0.375976563,8.0,0.1171875
27.0,108.0,0.0436637551,0.3768921,8.666667,0.1171875
28.0,112.0,0.0394382328,0.38482666,9.333333,0.1171875
29.0,116.0,0.0436637551,0.384521484,10.0,0.1171875
30.0,120.0,0.0415509939,0.385131836,10.666667,0.12109375
31.0,124.0,0.0464807749,0.393676758,11.4666662,0.119140625
32.0,128.0,0.0436637551,0.393371582,12.1333332,0.12109375
33.0,132.0,0.0429595038,0.393676758,12.9333334,0.1171875
34.0,136.0,0.0401424877,0.393371582,13.7333336,0.115234375
35.0,140.0,0.045072265,0.4257202,14.5333338,0.115234375
36.0,144.0,0.04436801,0.43548584,15.4666662,0.109375
37.0,148.0,0.0394382328,0.417785645,16.2666664,0.1171875
38.0,152.0,0.0373254679,0.4147339,17.2,0.109375
39.0,156.0,0.0436637551,0.4147339,18.1333332,0.115234375
40.0,160.0,0.045072265,0.436706543,19.0666676,0.11328125
41.0,164.0,0.04225525,0.436706543,20.0,0.1171875
42.0,168.0,0.045072265,0.43762207,21.0666676,0.12109375
43.0,172.0,0.04436801,0.4449463,22.0,0.12109375
44.0,176.0,0.04577652,0.451965332,23.0666676,0.12109375
45.0,180.0,0.0436637551,0.4437256,24.1333332,0.111328125
46.0,184.0,0.0535233133,0.437011719,25.2,0.11328125
47.0,188.0,0.0471850261,0.464172363,26.4,0.1171875
48.0,192.0,0.0471850261,0.455932617,27.4666672,0.123046875
49.0,196.0,0.0535233133,0.4437256,28.666666,0.11328125
50.0,200.0,0.0415509939,0.436706543,29.8666668,0.11328125
51.0,204.0,0.052819062,0.452880859,31.0666676,0.1171875
52.0,208.0,0.04929779,0.4727173,32.2666664,0.115234375
53.0,212.0,0.0415509939,0.455322266,33.6,0.115234375
54.0,216.0,0.0535233133,0.452880859,34.8,0.1171875
55.0,220.0,0.03239569,0.452880859,36.1333351,0.11328125
56.0,224.0,0.06479138,0.4547119,37.4666672,0.109375
57.0,228.0,0.0309871826,0.4534912,38.8,0.119140625
58.0,232.0,0.0535233133,0.4522705,40.1333351,0.1171875
59.0,236.0,0.04577652,0.452575684,41.6,0.11328125
60.0,240.0,0.0570445843,0.464172363,43.0666656,0.12109375
61.0,244.0,0.0471850261,0.474243164,44.5333328,0.11328125
