Time (ms),TCP_x (mm),TCP_y (mm),TCP_z (mm),TCP_rx (rad),TCP_ry (rad),TCP_rz (rad),Robot_I (A)
1.488,0.0,0.0,0.0,1.228,1.171,-1.208,1.091
4.215,0.0,0.0,0.0,1.228,1.171,-1.208,1.091
7.186,0.0,0.0,0.0,1.228,1.171,-1.208,1.267
9.17,0.0,0.0,0.0,1.228,1.171,-1.208,1.267
12.145,0.0,0.0,0.0,1.228,1.171,-1.208,1.267
14.147,0.0,0.0,0.0,1.228,1.171,-1.208,1.267
15.64,0.0,0.0,0.0,1.228,1.171,-1.208,1.197
18.616,0.0,0.0,0.0,1.228,1.171,-1.208,1.197
20.104,0.0,0.0,0.0,1.228,1.171,-1.208,1.197
23.079,0.0,0.0,0.0,1.228,1.171,-1.208,1.197
26.057,0.0,0.0,0.0,1.228,1.171,-1.208,1.197
29.032,0.0,0.0,0.0,1.228,1.171,-1.208,1.197
30.52,0.0,0.0,0.0,1.228,1.171,-1.208,1.197
32.008,0.0,0.0,0.0,1.228,1.171,-1.208,1.197
33.495999999999995,0.0,0.0,0.0,1.228,1.171,-1.208,1.267
36.471,0.0,0.0,0.0,1.228,1.171,-1.208,1.267
37.96,0.0,0.0,0.0,1.228,1.171,-1.208,1.267
39.447,0.0,0.0,0.0,1.228,1.171,-1.208,1.267
41.432,0.0,0.0,0.0,1.228,1.171,-1.208,1.267
44.408,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.056
45.939,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.056
48.524,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.056
51.505,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.056
52.996,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.161
54.489,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.161
57.959,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.161
59.444,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.161
62.419,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.267
64.216,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.267
65.699,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.267
68.865,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.267
