Time (ms),TCP_x (mm),TCP_y (mm),TCP_z (mm),TCP_rx (rad),TCP_ry (rad),TCP_rz (rad),Robot_I (A)
1.995,0.0,0.0,0.0,1.228,1.171,-1.208,1.161
3.989,0.0,0.0,0.0,1.228,1.171,-1.208,1.161
8.979,0.0999999999999943,0.0,0.0,1.228,1.171,-1.208,1.126
12.966,0.0999999999999943,0.0,0.0,1.228,1.171,-1.208,1.126
14.96,0.0,0.0,0.0,1.228,1.171,-1.208,1.196
17.086000000000002,0.0,0.0,0.0,1.228,1.171,-1.208,1.196
19.192,0.0,0.0,0.0,1.228,1.171,-1.208,1.196
21.294,0.0,0.0,0.0,1.228,1.171,-1.208,1.196
23.293000000000003,0.0,0.0,0.0,1.228,1.171,-1.208,1.091
27.565,0.0,0.0,0.0,1.228,1.171,-1.208,1.091
29.568,0.0,0.0,0.0,1.228,1.171,-1.208,1.091
31.743,0.0,0.0,0.0,1.228,1.171,-1.208,1.091
33.803,0.0999999999999943,0.0,0.0,1.228,1.171,-1.208,1.231
35.735,0.0999999999999943,0.0,0.0,1.228,1.171,-1.208,1.231
37.825,0.0999999999999943,0.0,0.0,1.228,1.171,-1.208,1.231
39.823,0.0,0.0,0.0,1.228,1.171,-1.208,1.091
43.821,0.0,0.0,0.0,1.228,1.171,-1.208,1.091
45.811,0.0,0.0,0.0,1.228,1.171,-1.208,1.091
47.977,0.0,0.0,0.0,1.228,1.171,-1.208,1.091
50.004,0.0999999999999943,0.0,0.0,1.228,1.171,-1.208,1.196
52.164,0.0999999999999943,0.0,0.0,1.228,1.171,-1.208,1.196
54.355,0.0999999999999943,0.0,0.0,1.228,1.171,-1.208,1.196
56.354,0.0999999999999943,0.0,0.0,1.228,1.171,-1.208,1.196
60.342,0.0,0.0,0.0,1.228,1.171,-1.208,1.196
62.428,0.0,0.0,0.0,1.228,1.171,-1.208,1.196
64.462,0.0,0.0,0.0,1.228,1.171,-1.208,1.196
66.42,0.0,0.0,0.0,1.228,1.171,-1.208,1.196
68.58200000000001,0.0,0.0,0.0,1.228,1.171,-1.208,1.09
70.57900000000001,0.0,0.0,0.0,1.228,1.171,-1.208,1.09
72.601,0.0,0.0,0.0,1.228,1.171,-1.208,1.09
76.589,0.0,0.0,0.0,1.228,1.171,-1.208,1.09
80.635,0.0,0.0,0.0,1.228,1.171,-1.208,1.019
82.66900000000001,0.0,0.0,0.0,1.228,1.171,-1.208,1.019
84.643,0.0,0.0,0.0,1.228,1.171,-1.208,1.019
86.797,0.0,0.0,0.0,1.228,1.171,-1.208,1.161
88.834,0.0,0.0,0.0,1.228,1.171,-1.208,1.161
91.835,0.0,0.0,0.0,1.228,1.171,-1.208,1.161
93.83,0.0,0.0,0.0,1.228,1.171,-1.208,1.161
96.333,0.0999999999999943,0.0,0.0,1.228,1.171,-1.208,1.196
98.496,0.0999999999999943,0.0,0.0,1.228,1.171,-1.208,1.196
100.687,0.0999999999999943,0.0,0.0,1.228,1.171,-1.208,1.196
102.045,0.0999999999999943,0.0,0.0,1.228,1.171,-1.208,1.196
108.049,0.0999999999999943,0.0,0.0,1.228,1.171,-1.208,1.196
110.03,0.0,0.0,0.0,1.228,1.171,-1.208,1.126
112.025,0.0,0.0,0.0,1.228,1.171,-1.208,1.126
114.019,0.0,0.0,0.0,1.228,1.171,-1.208,1.126
116.014,0.0,0.0,0.0,1.228,1.171,-1.208,1.126
118.009,0.0999999999999943,0.0,0.0,1.228,1.171,-1.208,1.09
120.003,0.0999999999999943,0.0,0.0,1.228,1.171,-1.208,1.09
121.998,0.0999999999999943,0.0,0.0,1.228,1.171,-1.208,1.09
125.988,0.0999999999999943,0.0,0.0,1.228,1.171,-1.208,1.09
127.981,0.0,0.0,0.0,1.228,1.171,-1.208,1.091
131.009,0.0,0.0,0.0,1.228,1.171,-1.208,1.091
133.00699999999998,0.0,0.0,0.0,1.228,1.171,-1.208,1.091
135.023,0.0,0.0,0.0,1.228,1.171,-1.208,1.056
137.02,0.0,0.0,0.0,1.228,1.171,-1.208,1.056
138.991,0.0,0.0,0.0,1.228,1.171,-1.208,1.056
140.996,0.0,0.0,0.0,1.228,1.171,-1.208,1.056
144.975,0.0,0.0,0.0,1.228,1.171,-1.208,1.056
148.96400000000003,0.0999999999999943,0.0,0.0999999999999943,1.228,1.171,-1.208,1.231
