Time (ms),TCP_x (mm),TCP_y (mm),TCP_z (mm),TCP_rx (rad),TCP_ry (rad),TCP_rz (rad),Robot_I (A)
2.523,0.0,0.0,0.0,1.228,1.171,-1.208,1.195
4.521,0.0,0.0,0.0,1.228,1.171,-1.208,1.195
8.0,0.0,0.0,0.0,1.228,1.171,-1.208,1.195
9.998,0.0,0.0,0.0,1.228,1.171,-1.208,1.3
12.184,0.0,0.0,0.0,1.228,1.171,-1.208,1.3
14.233,0.0,0.0,0.0,1.228,1.171,-1.208,1.3
16.613,0.0,0.0,0.0,1.228,1.171,-1.208,1.3
20.661,0.0,0.0,0.0,1.228,1.171,-1.208,1.301
22.631,0.0,0.0,0.0,1.228,1.171,-1.208,1.301
26.592,0.0,0.0,0.0,1.228,1.171,-1.208,1.301
28.587,0.0,0.0,0.0,1.228,1.171,-1.208,1.3
30.582,0.0,0.0,0.0,1.228,1.171,-1.208,1.3
34.573,0.0,0.0,0.0,1.228,1.171,-1.208,1.3
36.566,0.0,0.0,0.0,1.228,1.171,-1.208,1.265
38.56,0.0,0.0,0.0,1.228,1.171,-1.208,1.265
40.796,0.0,0.0,0.0,1.228,1.171,-1.208,1.265
42.794,0.0,0.0,0.0,1.228,1.171,-1.208,1.265
44.788,0.0,0.0,0.0,1.228,1.171,-1.208,1.301
46.786,0.0,0.0,0.0,1.228,1.171,-1.208,1.301
48.784,0.0,0.0,0.0,1.228,1.171,-1.208,1.301
52.773,0.0,0.0,0.0,1.228,1.171,-1.208,1.301
55.142,0.0,0.0,0.0,1.228,1.171,-1.208,1.23
57.219,0.0,0.0,0.0,1.228,1.171,-1.208,1.23
59.307,0.0,0.0,0.0,1.228,1.171,-1.208,1.23
61.366,0.0,0.0,0.0,1.228,1.171,-1.208,1.23
63.341,0.0,0.0,0.0,1.228,1.171,-1.208,1.265
65.344,0.0,0.0,0.0,1.228,1.171,-1.208,1.265
69.37,0.0,0.0,0.0,1.228,1.171,-1.208,1.265
71.385,0.0,0.0,0.0,1.228,1.171,-1.208,1.265
73.715,0.0,0.0,0.0,1.228,1.171,-1.208,1.265
75.738,0.0,0.0,0.0,1.228,1.171,-1.208,1.3
78.045,0.0,0.0,0.0,1.228,1.171,-1.208,1.3
82.088,0.0,0.0,0.0,1.228,1.171,-1.208,1.3
86.12100000000001,0.0,0.0,0.0,1.228,1.171,-1.208,1.3
88.072,0.0,0.0,0.0,1.228,1.171,-1.208,1.3
90.194,0.0,0.0,0.0,1.228,1.171,-1.208,1.3
92.38,0.0,0.0,0.0,1.228,1.171,-1.208,1.3
94.431,0.0,0.0,0.0,1.228,1.171,-1.208,1.301
96.433,0.0,0.0,0.0,1.228,1.171,-1.208,1.301
98.427,0.0,0.0,0.0,1.228,1.171,-1.208,1.301
101.423,0.0,0.0,0.0,1.228,1.171,-1.208,1.301
103.465,0.0,0.0,0.0,1.228,1.171,-1.208,1.371
105.441,0.0,0.0,0.0,1.228,1.171,-1.208,1.371
115.383,0.0,0.0,0.0,1.228,1.171,-1.208,1.371
122.363,0.0,0.0,0.0,1.228,1.171,-1.208,1.371
124.357,0.0,0.0,0.0,1.228,1.171,-1.208,1.371
126.353,0.0,0.0,0.0,1.228,1.171,-1.208,1.336
128.34799999999998,0.0,0.0,0.0,1.228,1.171,-1.208,1.336
130.364,0.0,0.0,0.0,1.228,1.171,-1.208,1.336
136.327,0.0,0.0,0.0,1.228,1.171,-1.208,1.336
140.643,0.0,0.0,0.0,1.228,1.171,-1.208,1.335
142.922,0.0,0.0,0.0,1.228,1.171,-1.208,1.335
144.924,0.0,0.0,0.0,1.228,1.171,-1.208,1.335
147.04999999999998,0.0,0.0,0.0,1.228,1.171,-1.208,1.372
149.048,0.0,0.0,0.0,1.228,1.171,-1.208,1.372
154.37,0.0,0.0,0.0,1.228,1.171,-1.208,1.372
156.486,0.0,0.0,0.0,1.228,1.171,-1.208,1.372
158.484,0.0,0.0,0.0,1.228,1.171,-1.208,1.3
160.505,0.0,0.0,0.0,1.228,1.171,-1.208,1.3
162.64999999999998,0.0,0.0,0.0,1.228,1.171,-1.208,1.3
164.648,0.0,0.0,0.0,1.228,1.171,-1.208,1.3
167.654,0.0,0.0,0.0,1.228,1.171,-1.208,1.231
170.63600000000002,0.0,0.0,0.0,1.228,1.171,-1.208,1.231
172.67,0.0,0.0,0.0,1.228,1.171,-1.208,1.231
174.696,0.0,0.0,0.0,1.228,1.171,-1.208,1.231
176.65900000000002,0.0,0.0,0.0,1.228,1.171,-1.208,1.231
178.677,0.0,0.0,0.0,1.228,1.171,-1.208,1.231
180.677,0.0,0.0,0.0,1.228,1.171,-1.208,1.231
183.646,0.0,0.0,0.0,1.228,1.171,-1.208,1.231
185.636,0.0,0.0,0.0,1.228,1.171,-1.208,1.231
187.63,0.0,0.0,0.0,1.228,1.171,-1.208,1.231
189.626,0.0,0.0,0.0,1.228,1.171,-1.208,1.194
191.621,0.0,0.0,0.0,1.228,1.171,-1.208,1.194
