Time (ms),TCP_x (mm),TCP_y (mm),TCP_z (mm),TCP_rx (rad),TCP_ry (rad),TCP_rz (rad),Robot_I (A)
1.997,0.0,0.0,0.0,1.228,1.171,-1.208,1.195
48.419,0.0,0.0,0.0,1.228,1.171,-1.208,1.195
51.421,0.0,0.0,0.0,1.228,1.171,-1.208,1.195
53.416,0.0,0.0,0.0,1.228,1.171,-1.208,1.336
55.41,0.0,0.0,0.0,1.228,1.171,-1.208,1.336
57.405,0.0,0.0,0.0,1.228,1.171,-1.208,1.336
71.368,0.0,0.0,0.0,1.228,1.171,-1.208,1.336
79.348,0.0,0.0,0.0,1.228,1.171,-1.208,1.336
81.342,0.0,0.0,0.0,1.228,1.171,-1.208,1.337
83.368,0.0,0.0,0.0,1.228,1.171,-1.208,1.337
85.36399999999999,0.0,0.0,0.0,1.228,1.171,-1.208,1.337
87.355,0.0,0.0,0.0,1.228,1.171,-1.208,1.301
89.354,0.0,0.0,0.0,1.228,1.171,-1.208,1.301
91.338,0.0,0.0,0.0,1.228,1.171,-1.208,1.301
93.335,0.0,0.0,0.0,1.228,1.171,-1.208,1.301
95.305,0.0,0.0,0.0,1.228,1.171,-1.208,1.266
97.306,0.0,0.0,0.0,1.228,1.171,-1.208,1.266
99.326,0.0,0.0,0.0,1.228,1.171,-1.208,1.266
101.289,0.0,0.0,0.0,1.228,1.171,-1.208,1.266
103.285,0.0,0.0,0.0,1.228,1.171,-1.208,1.266
105.279,0.0,0.0,0.0,1.228,1.171,-1.208,1.266
113.26,0.0,0.0,0.0,1.228,1.171,-1.208,1.336
117.247,0.0,0.0,0.0,1.228,1.171,-1.208,1.231
119.241,0.0,0.0,0.0,1.228,1.171,-1.208,1.231
121.236,0.0,0.0,0.0,1.228,1.171,-1.208,1.231
123.231,0.0,0.0,0.0,1.228,1.171,-1.208,1.231
125.225,0.0,0.0,0.0,1.228,1.171,-1.208,1.301
127.22,0.0,0.0,0.0,1.228,1.171,-1.208,1.301
131.21099999999998,0.0,0.0,0.0,1.228,1.171,-1.208,1.301
135.209,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.196
138.19600000000003,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.196
140.191,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.196
142.186,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.196
144.179,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.302
148.171,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.302
150.381,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.302
152.372,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.302
154.365,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.302
156.36,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.302
158.35399999999998,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.195
160.243,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.195
163.427,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.195
166.233,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.195
170.226,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.195
172.224,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.266
176.21200000000002,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.266
178.20600000000002,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.231
184.191,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.231
189.17800000000005,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.231
193.167,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.336
195.16,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.336
