Time (ms),TCP_x (mm),TCP_y (mm),TCP_z (mm),TCP_rx (rad),TCP_ry (rad),TCP_rz (rad),Robot_I (A)
1.964,0.0,0.0,0.0,1.228,1.171,-1.208,1.267
3.96,0.0,0.0,0.0,1.228,1.171,-1.208,1.267
5.951,0.0,0.0,0.0,1.228,1.171,-1.208,1.267
7.946,0.0,0.0,0.0,1.228,1.171,-1.208,1.267
9.941,0.0,0.0,0.0,1.228,1.171,-1.208,1.162
12.158,0.0,0.0,0.0,1.228,1.171,-1.208,1.162
14.156,0.0,0.0,0.0,1.228,1.171,-1.208,1.162
16.154000000000003,0.0,0.0,0.0,1.228,1.171,-1.208,1.162
18.152,0.0,0.0,0.0,1.228,1.171,-1.208,1.232
20.146,0.0,0.0,0.0,1.228,1.171,-1.208,1.232
22.232,0.0,0.0,0.0,1.228,1.171,-1.208,1.232
24.23,0.0,0.0,0.0,1.228,1.171,-1.208,1.232
26.348,0.0,0.0,0.0,1.228,1.171,-1.208,1.126
28.548,0.0,0.0,0.0,1.228,1.171,-1.208,1.126
30.599,0.0,0.0,0.0,1.228,1.171,-1.208,1.126
32.592000000000006,0.0,0.0,0.0,1.228,1.171,-1.208,1.161
34.648,0.0,0.0,0.0,1.228,1.171,-1.208,1.161
36.651,0.0,0.0,0.0,1.228,1.171,-1.208,1.161
39.167,0.0,0.0,0.0,1.228,1.171,-1.208,1.161
41.169,0.0,0.0,0.0,1.228,1.171,-1.208,1.232
43.195,0.0,0.0,0.0,1.228,1.171,-1.208,1.232
45.193,0.0,0.0,0.0,1.228,1.171,-1.208,1.232
47.208,0.0,0.0,0.0,1.228,1.171,-1.208,1.232
49.304,0.0,0.0,0.0,1.228,1.171,-1.208,1.232
51.348,0.0,0.0,0.0,1.228,1.171,-1.208,1.196
53.35,0.0,0.0,0.0,1.228,1.171,-1.208,1.196
55.533,0.0,0.0,0.0,1.228,1.171,-1.208,1.196
57.531,0.0,0.0,0.0,1.228,1.171,-1.208,1.196
59.723,0.0,0.0,0.0,1.228,1.171,-1.208,1.196
61.9,0.0,0.0,0.0,1.228,1.171,-1.208,1.196
63.968,0.0,0.0,0.0,1.228,1.171,-1.208,1.196
65.989,0.0,0.0,0.0,1.228,1.171,-1.208,1.196
67.966,0.0,0.0,0.0,1.228,1.171,-1.208,1.232
69.95899999999999,0.0,0.0,0.0,1.228,1.171,-1.208,1.232
72.068,0.0,0.0,0.0,1.228,1.171,-1.208,1.232
74.262,0.0,0.0,0.0,1.228,1.171,-1.208,1.232
76.457,0.0,0.0,0.0,1.228,1.171,-1.208,1.161
78.548,0.0,0.0,0.0,1.228,1.171,-1.208,1.161
80.61500000000001,0.0,0.0,0.0,1.228,1.171,-1.208,1.161
82.658,0.0,0.0,0.0,1.228,1.171,-1.208,1.161
84.663,0.0,0.0,0.0,1.228,1.171,-1.208,1.091
86.655,0.0,0.0,0.0,1.228,1.171,-1.208,1.091
89.677,0.0,0.0,0.0,1.228,1.171,-1.208,1.091
91.718,0.0,0.0,0.0,1.228,1.171,-1.208,1.091
93.784,0.0,0.0,0.0,1.228,1.171,-1.208,1.091
95.82,0.0,0.0,0.0,1.228,1.171,-1.208,1.196
97.983,0.0,0.0,0.0,1.228,1.171,-1.208,1.196
100.035,0.0,0.0,0.0,1.228,1.171,-1.208,1.196
101.999,0.0,0.0,0.0,1.228,1.171,-1.208,1.196
103.97,0.0,0.0,0.0,1.228,1.171,-1.208,1.126
105.988,0.0,0.0,0.0,1.228,1.171,-1.208,1.126
107.98,0.0,0.0,0.0,1.228,1.171,-1.208,1.126
109.978,0.0,0.0,0.0,1.228,1.171,-1.208,1.126
111.974,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.161
113.943,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.161
115.959,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.161
117.956,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.161
119.927,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.197
121.946,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.197
123.938,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.197
125.96,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.197
127.93,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.196
129.945,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.196
133.946,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.196
135.98399999999998,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.196
138.006,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.126
139.54,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.126
141.563,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.126
143.531,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.126
145.52499999999998,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.126
147.52,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.091
151.509,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.091
153.504,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.091
155.499,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.161
157.493,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.161
159.488,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.161
161.48299999999998,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.161
163.499,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.126
165.473,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.126
167.466,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.126
169.461,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.126
173.451,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.196
175.445,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.196
177.44,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.196
180.435,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.196
184.421,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.232
188.443,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.232
204.399,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.232
208.391,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.232
210.354,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.126
212.379,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.126
214.374,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.126
216.361,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.126
218.356,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.197
220.349,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.197
222.32,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.197
224.34,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.197
226.338,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.197
228.331,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.056
230.327,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.056
232.346,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.056
234.316,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.056
251.868,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.303
257.819,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.303
259.84200000000004,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.303
263.802,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.303
267.19100000000003,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.126
268.863,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.126
270.393,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.126
274.04200000000003,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.126
276.038,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.126
278.034,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.126
280.02500000000003,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.126
282.02,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.126
284.014,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.126
286.009,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.091
288.006,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.091
290.00100000000003,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.091
291.993,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.091
293.987,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.091
297.977,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.196
299.97200000000004,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.196
303.963,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.196
307.95,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.161
310.212,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.161
312.237,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.161
314.233,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.161
316.251,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.197
318.228,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.197
321.534,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.197
323.557,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.197
325.578,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.302
327.557,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.302
331.546,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.302
335.535,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.161
337.639,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.161
340.174,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.161
342.203,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.161
344.245,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.126
346.2,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.126
348.306,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.126
350.431,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.126
352.473,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.091
354.457,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.091
356.487,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.091
358.449,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.091
360.603,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.162
362.641,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.162
366.824,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.162
369.057,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.162
371.115,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.091
373.177,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.091
375.217,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.091
377.242,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.091
379.209,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.126
381.405,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.126
383.5990000000001,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.126
385.795,0.0,0.0,0.0999999999999943,1.228,1.171,-1.208,1.126
387.826,0.0,0.0,0.0,1.228,1.171,-1.208,1.091
389.824,0.0,0.0,0.0,1.228,1.171,-1.208,1.091
393.835,0.0,0.0,0.0,1.228,1.171,-1.208,1.091
397.828,0.0,0.0,0.0,1.228,1.171,-1.208,1.232
399.797,0.0,0.0,0.0,1.228,1.171,-1.208,1.232
401.91,0.0,0.0,0.0,1.228,1.171,-1.208,1.232
405.95,0.0,0.0,0.0,1.228,1.171,-1.208,1.126
407.974,0.0,0.0,0.0,1.228,1.171,-1.208,1.126
410.96,0.0,0.0,0.0,1.228,1.171,-1.208,1.126
412.984,0.0,0.0,0.0,1.228,1.171,-1.208,1.126
414.958,0.0,0.0,0.0,1.228,1.171,-1.208,1.056
